#{"t_start": 1668693555.3180852, "env_id": "procgen-bigfish-v0"}
r,l,t
0.0,138,0.286653
0.0,86,0.436594
00.0,116,0.594361
10.0,106,0.74797
0.0,54,0.83037
0.0,176,1.093305
1.0,74,1.205378
0.0,55,1.287787
0.0,84,1.411210.01.0,273,1.80443
0.0,85,1.927509
0.0,185,2.190169
1.0,274,2.638582
0.0,97,2.788401
0.0,127,2.973619
0.0,252,20.005449
0.0,202,20.327555
0.0,111,20.4965
0.0,124,20.69995
0.0,130,20.906089
1.0,488,21.690716
0.0,115,21.883194
0.0,117,22.078817
0.0,60,22.196395
0.0,221,22.684589
0.0,47,22.788404
0.0,131,23.082495
0.0,140,23.486825
0.0,109,39.886256
0.0,49,39.98647
1.0,93,40.173397
0.0,94,40.30479
0.0,55,40.387897
0.0,40,40.447533
1.0,138,40.64925
0.0,278,41.046486
0.0,25,41.081005
1.0,255,41.498529
1.0,174,41.916446
0.0,33,42.001971
0.0,170,42.464889
0.0,67,42.622488
1.0,137,42.956986
0.0,123,43.326859
0.0,74,43.543541
1.0,71,43.791806
0.0,50,43.940805
0.0,82,60.460358
1.0,77,60.600643
0.0,89,60.767329
0.0,37,60.853319
0.0,38,60.944149
0.0,86,61.125697
0.0,263,61.478525
0.0,45,61.527521
0.0,95,61.63552
0.0,120,61.765251
0.0,72,63.885613
1.0,111,64.041705
0.0,27,64.079133
0.0,51,64.149715
0.0,58,64.229286
0.0,108,64.376713
0.0,63,64.464739
0.0,47,64.53023
0.0,137,64.719663
0.0,102,64.865571
0.0,98,65.000508
0.0,87,65.123407
0.0,36,65.173032
0.0,44,65.234546
0.0,62,65.0.0,263,0.0,39,65.30.0,160.0,159,65.590.0,99,65.659319
0.0,53,65.732774
0.0,40.0,72,65.8451.0,50.0,129,66.040.0,193,66.171699
0.0,94,66.309189
0.0,42,66.374528
0.0,60,66.478813
0.0,291,83.751503
0.0,77,83.867668
1.0,40.0,79,84.018458
0.0,72,84.1190.0,90.0,114,84.292.0,205,84.420766
0.0,51,84.50413
0.0,98,84.656368
0.0,51,81.0,135,80.0,84,84.2.0,260,85.272241
0.0,87,85.4001
0.0,20,850.0,189,80.0,355,85.950356
0.0,75,86.06025
0.0,143,86.262973
0.0,22,86.29351
0.0,223,86.632913
0.0,5,86.64884
0.0,90,103.001458
0.0,39,103.097145
0.0,37,103.186466
0.0,90,103.30.0,310,103.702673
0.0,34.0,413,104.214255
0.0,95,104.400.0,220.0,110,104.570.0,220,104.718091
0.0,26,104.771928
0.0,129,105.012321
0.0,56,105.102683
0.0,205,105.416072
1.0,206,105.773977
0.0,82,123.573463
0.0,310,124.286542
0.0,57,124.384433
2.0,135,124.613569
1.0,494,125.161643
0.0,108,125.278751
0.0,314,125.622436
0.0,99,125.737368
0.0,224,125.984655
0.0,58,126.040552
0.0,53,132.16612
0.0,97,132.317266
1.0,274,132.743643
0.0,47,132.810347
0.0,59,132.893806
0.0,82,133.011829
0.0,96,133.153111
0.0,114,133.329159
0.0,71,133.442737
0.0,125,133.6426
0.0,42,133.706839
0.0,22,133.749822
0.0,65,133.88273
0.0,38,133.961323
0.0,139,134.212043
1.0,75,134.324742
0.0,132,134.517798
0.0,90,134.654549
0.0,109,134.81502
0.0,88,134.944013
0.0,67,135.0580.0,161,135.225621
0.0,0.0,133,135.3490.0,207,152.786595
1.0,175,153.130151
0.0,70,153.24248
0.0,11,153.259537
0.0,207,153.578462
1.0,161,153.843762
0.0,19,153.873387
0.0,13.0,363,154.319311
0.0,44,154.38840.0,0.0,135,154.58752.0,90,154.759037
0.0,0.0,149,154.8210.0,99,154.988327
0.0,81.0,290,155.393042
0.0,78,155.512503
0.0,77,171.862947
0.0,362,172.741935
0.0,167,173.004468
2.0,170,173.259061
1.0,344,173.793856
1.0,177,174.074256
0.0,112,174.24447
0.0,17,174.268163
0.0,26,174.303868
0.0,99,174.452207
0.0,77,174.577134
0.0,40,174.636827
0.0,36,174.692832
1.0,107,174.870634
1.0,84,174.993173
0.0,33,175.049026
0.0,146,175.276707
0.0,41,191.983402
0.0,16,192.028311
0.0,61,192.214451
0.0,61,192.364623
0.0,131,192.611517
0.0,68,192.751414
0.0,129,193.03793
0.0,85,193.174165
0.0,50,193.246389
0.0,19,193.275882
0.0,47,198.604899
0.0,80,198.723375
0.0,71,198.852697
0.0,16,198.880181
0.0,102,199.081012
0.0,109,199.290608
0.0,12,199.308812
1.0,156,199.546905
0.0,50,199.629072
0.0,91,199.772164
0.0,150,200.01137
1.0,88,200.149911
0.0,22,200.185631
0.0,73,200.371437
0.0,51,200.452823
0.0,18,200.478642
0.0,70,200.587399
0.0,88,200.725169
0.0,88,200.855494
0.0,136,201.070138
0.0,176,201.332502
0.0,66,201.432008
0.0,59,201.544511
0.0,15,201.565827
0.0,140,201.782455
0.0,30,201.832969
0.0,65,218.436609
1.0,98,218.722691
0.0,16,218.749585
0.0,46,218.815619
0.0,129,219.011766
1.0,169,219.278359
0.0,72,219.40083
0.0,88,219.535987
0.0,46,219.60022
0.0,61,219.698748
2.0,292,220.142936
0.0,45,220.217543
0.0,123,220.403055
0.0,93,220.53177
0.0,96,220.678264
0.0,82,220.796461
0.0,54,220.88837
0.0,153,221.118752
0.0,134,221.326797
